Linux 5.4.0-77-generic (ubuntu-dev-01) 	08/15/2021 	_x86_64_	(1 CPU)

02:06:09 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:31:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:31:35 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:31:40 AM     all      0.00      0.00      0.40      0.20      0.00     99.40
02:31:45 AM     all      0.00      0.00      0.60      0.00      0.00     99.40
02:31:50 AM     all      0.20      0.00      0.40      0.00      0.00     99.40
02:31:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:32:00 AM     all      0.40      0.00      0.60      0.00      0.00     98.99
02:32:05 AM     all      0.20      0.00      0.40      0.00      0.00     99.40
02:32:10 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:32:15 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:32:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:32:25 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
02:32:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:32:35 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:32:40 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:32:45 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:32:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:32:55 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:33:00 AM     all      0.00      0.00      0.60      0.00      0.00     99.40
02:33:05 AM     all      0.20      0.00      0.40      0.00      0.00     99.40
02:33:10 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:33:15 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
02:33:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:33:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:33:30 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:33:35 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:33:40 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:33:45 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:33:50 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:33:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:34:00 AM     all      0.40      0.00      0.00      0.00      0.00     99.60
02:34:05 AM     all      0.00      0.00      0.60      0.00      0.00     99.40
02:34:10 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:34:15 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:34:20 AM     all      0.20      0.00      0.40      0.00      0.00     99.40
02:34:25 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
02:34:30 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:34:35 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:34:40 AM     all      0.20      0.00      0.60      0.00      0.00     99.20
02:34:45 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:34:50 AM     all      0.40      0.00      0.40      0.00      0.00     99.20
02:34:55 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:35:00 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:35:05 AM     all      0.00      0.00      0.80      0.00      0.00     99.20
02:35:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:15 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:35:20 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:35:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:36 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:35:41 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:35:46 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:35:51 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:35:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:01 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:36:06 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
02:36:11 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:36:16 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:36:21 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:36:26 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:36:31 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:36 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:36:41 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:36:46 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:36:51 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:36:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:37:01 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:37:06 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:37:11 AM     all      3.63      0.00      1.81      0.20      0.00     94.35
02:37:16 AM     all     72.55      0.00     19.64      0.60      0.00      7.21
02:37:21 AM     all     91.00      0.00      9.00      0.00      0.00      0.00
02:37:26 AM     all     89.80      0.00     10.20      0.00      0.00      0.00
02:37:31 AM     all     87.20      0.00     12.80      0.00      0.00      0.00
02:37:36 AM     all     88.02      0.00     11.98      0.00      0.00      0.00
02:37:41 AM     all     89.16      0.00     10.84      0.00      0.00      0.00
02:37:46 AM     all     89.42      0.00     10.58      0.00      0.00      0.00
